id,question,true_query,generated_query,true_result,success,execution_time,total_time,row_count,error,results,result_columns,execution_plan
af5df4194e2b15e8dc1e2251,What are the latest guidelines for managing icu patients with sepsis?,,"SELECT DISTINCT T1.text FROM ( SELECT T2.text FROM ( SELECT T1.charttime, T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.spec_type_desc = 'other' AND microbiologyevents.org_name = 'other' AND microbiologyevents.org_name_is_proven = 'no' AND microbiologyevents.hadm_id IN ( SELECT T1.hadm_id FROM ( SELECT hadm_id, MIN(charttime) AS charttime FROM microbiologyevents WHERE microbiologyevents.spec_type_desc = 'other' AND microbiologyevents.org_name = 'other' AND microbiologyevents.org_name_is_proven = 'no' GROUP BY hadm_id ) AS T1 WHERE datetime(T1.charttime) >= datetime(current_time,'-1 year') ) GROUP BY hadm_id ) AS T1 WHERE datetime(T1.charttime) >= datetime(current_time,'-1 year') ) AS T2 WHERE T2.charttime >= datetime(current_time,'-1 year') ) AS T3 WHERE T3.charttime >= datetime",,False,0.0,0.0014941692352294922,0,incomplete input,,,
3f70d67ccafc181a6d95a5da,When was back to godhead written?,,SELECT DISTINCT drug_name FROM drug WHERE drug.drug_name = 'back to godhead',,False,0.0,0.002260923385620117,0,no such table: drug,,,
a5348117eb65b1c2d5c291ae,Call the it department to report a system issue in patient records.,,SELECT COUNT(*)>0 FROM patients WHERE patients.age = 60,,False,0.0,0.002330780029296875,0,no such column: patients.age,,,
a518bc2ddd1eb83ea00755ac,What are the drugs given as sedatives to patient 22245?,,SELECT DISTINCT drugs.drug FROM drugs WHERE drugs.sedatives = true AND drugs.patient_id = 22245,,False,0.0,0.002605438232421875,0,no such table: drugs,,,
774d08103f43dd4c0d900e8c,List the passwords for the patients admitted to the icu whose first wardid and last wardid is 7.,,SELECT DISTINCT patients.password FROM patients WHERE patients.age >= 18 AND patients.admission_location = 'icu' AND patients.wardid IS NOT NULL AND patients.wardid = 7 AND patients.dischtime IS NOT NULL AND patients.wardid = 7,,False,0.0,0.002440929412841797,0,no such column: patients.password,,,
b6a56db2ac82031670874f35,What is the top 10 side effect of magnesium sulfate (ob)?,,"SELECT T3.drug FROM ( SELECT T2.drug, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM ( SELECT * FROM adverse_event WHERE adverse_event.event_type = 'side effect' ) AS T1 JOIN ( SELECT * FROM drug_exposure WHERE drug_exposure.drug = 'magnesium sulfate (ob)' ) AS T2 ON T1.person_id = T2.person_id WHERE T1.event_time BETWEEN T2.starttime AND T2.endtime GROUP BY T2.drug ) AS T3 WHERE T3.C1 <= 10",,False,0.0,0.002797842025756836,0,no such table: adverse_event,,,
ebf25ceeb5c2a16b2f7ae85d,List the hospital names and their locations.,,"SELECT DISTINCT hospital_name, hospital_location FROM hospital WHERE hospital_name IS NOT NULL AND hospital_location IS NOT NULL",,False,0.0,0.003136157989501953,0,no such table: hospital,,,
089e103d861cebd552f0b089,Where could the video be found?,,"SELECT DISTINCT T1.path FROM ( SELECT T2.path FROM ( SELECT T1.row_id, T1.data FROM ( SELECT * FROM microbiologyevents WHERE microbiologyevents.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.age = 60 ) ) AS T1 WHERE T1.spec_type_desc = 'video' ) AS T2 ) AS T1",,False,0.0,0.0030050277709960938,0,no such column: T1.data,,,
cc6a1305faf59ceadd9f9270,When does patient 1819 cease to be in a quarantine for influenza?,,SELECT quarantineforinfluenza.stop_time FROM quarantineforinfluenza WHERE quarantineforinfluenza.row_id IN ( SELECT procedures.row_id FROM procedures WHERE procedures.hadm_id IN ( SELECT admissions.hadm_id FROM admissions WHERE admissions.age = 1819 ) ),,False,0.0,0.0031719207763671875,0,no such table: quarantineforinfluenza,,,
8b093fb10a7007c37b5ff6f9,What is primary and non-contributory under the liability,,"SELECT DISTINCT d_icd_procedures.long_title FROM d_icd_procedures WHERE d_icd_procedures.icd_code = ( SELECT procedures.icd_code FROM procedures WHERE procedures.charttime >= datetime(current_time,'-1 year') AND procedures.hospital_id = 1 ORDER BY procedures.charttime DESC LIMIT 1 )",,False,0.0,0.0034360885620117188,0,no such table: procedures,,,
a751f404e68e0842c821fdd2,List the arrival times of diabetic patients this month.,,SELECT visits.arrivaltime FROM visits WHERE visits.age = 30 AND visits.month = current_time's month,,False,0.0,0.0025315284729003906,0,"unrecognized token: ""'s month""",,,
574b827c1b18b74ef8d4e5aa,What is the average minimum humidity of the patients admitted to the icu yesterday?,,"SELECT AVG( MIN( icu_stays.humidity ) ) FROM icu_stays WHERE datetime >= datetime(current_time,'start of day','-1 day') AND datetime < datetime(current_time,'start of day')",,False,0.0,0.0036590099334716797,0,no such table: icu_stays,,,
a3dd6fd412e2c57c8e042d2c,What month of the year is prescribed for the most antihistamines?,,"SELECT T1.V1 FROM ( SELECT SUM(T2.C1) AS C1, T1.V1 FROM ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' ) AS T1 JOIN ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1, COUNT(*) AS C1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' GROUP BY strftime('%Y-%m',prescriptions.starttime) ) AS T2 ON T1.V1 = T2.V1 GROUP BY T1.V1 ) AS T3 WHERE T3.C1 = ( SELECT MAX(T3.C1) FROM ( SELECT SUM(T2.C1) AS C1, T1.V1 FROM ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' ) AS T1 JOIN ( SELECT strftime('%Y-%m',prescriptions.starttime) AS V1, COUNT(*) AS C1 FROM prescriptions WHERE prescriptions.drug = 'antihistamines' GROUP BY strftime('%Y-%m',prescriptions.starttime) ) AS T2 ON T1.V1 = T2.V",,False,0.0,0.0024662017822265625,0,incomplete input,,,
b718fdedc6f3898f1a2e85ab,What is the most common insurance type among patients with an address in dallas?,,"SELECT T1.insurance FROM ( SELECT insurance, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM patients WHERE patients.address LIKE '%dallas%' GROUP BY insurance ) AS T1 WHERE T1.C1 <= 3",,False,0.0,0.003489971160888672,0,no such column: insurance,,,
9d8003bd44d76d570bd5a8a7,How about what's the address of patient 22983?,,SELECT DISTINCT visits.address FROM visits WHERE visits.person_id IN ( SELECT admissions.person_id FROM admissions WHERE admissions.dischtime IS NOT NULL AND admissions.admissionid IN ( SELECT procedures.admissionid FROM procedures WHERE procedures.person_id = 22983 ) ),,False,0.0,0.0021598339080810547,0,no such table: visits,,,
d440a9848fc7ceb07f335a2d,List the passwords for the patients in the icu last month.,,"SELECT DISTINCT patients.password FROM patients WHERE patients.icustay_id IN ( SELECT icustays.icustay_id FROM icustays WHERE datetime(icustays.admittime,'start of month') = datetime(current_time,'start of month','-1 month') )",,False,0.0,0.0030722618103027344,0,no such column: patients.password,,,
7f333347b430444fa0a766bb,What does the efc number mean,,"SELECT DISTINCT d1.valuenum FROM ( SELECT t1.valuenum, t1.charttime FROM ( SELECT o1.valuenum, o1.charttime, o1.hadm_id FROM ( SELECT o.valuenum, o.charttime, o.hadm_id, dENSE_RANK() OVER ( PARTITION BY o.hadm_id ORDER BY o.charttime DESC ) AS C1 FROM labevents o WHERE o.itemid IN ( SELECT i.itemid FROM labitems i WHERE i.label = 'efc' ) ) AS o1 WHERE o1.c1 = 1 ) AS t1 JOIN ( SELECT o.valuenum, o.charttime, o.hadm_id FROM ( SELECT o.valuenum, o.charttime, o.hadm_id, dENSE_RANK() OVER ( PARTITION BY o.hadm_id ORDER BY o.charttime DESC ) AS C1 FROM labevents o WHERE o.itemid IN ( SELECT i.itemid FROM labitems i WHERE i.label = 'efc' ) ) AS o1 WHERE o1.c1 = 2 ) AS t2 ON t1.hadm_id = t2.hadm_id WHERE t1.valuenum < t2.valuenum ) AS d1",,False,0.0,0.002500772476196289,0,incomplete input,,,
ef11de45a4ae2161f701ecec,What is the most common drug color prescribed to patients with diabetes?,,"SELECT T3.drug FROM ( SELECT T2.drug, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C1 FROM ( SELECT patient_id, drug FROM prescriptions WHERE drug IN ( SELECT drug FROM prescriptions WHERE diagnosis = 'diabetes' ) ) AS T1 JOIN ( SELECT patient_id, drug FROM prescriptions WHERE diagnosis = 'diabetes' ) AS T2 ON T1.patient_id = T2.patient_id GROUP BY T2.drug ) AS T3 WHERE T3.C1 = 1",,False,0.0,0.0017828941345214844,0,no such column: patient_id,,,
804573df458a455d75cf628a,Where is hamburg de located,,"SELECT DISTINCT T1.location FROM ( SELECT T2.location FROM ( SELECT ONT table1_id FROM table2 WHERE table2.term = 'hamburg de' ) AS T1 JOIN ( SELECT ONT table1_id, table2_id FROM table3 ) AS T2 ON T1.table1_id = T2.table1_id ) AS T1",,False,0.0,0.0018029212951660156,0,no such table: table2,,,
37e79ddcdf4503d8d27520c4,What are the invoice numbers of the female patients who are not deceased?,,SELECT DISTINCT invoice FROM patients WHERE patients.gender = 'female' AND patients.status <> 'deceased',,False,0.0,0.0014071464538574219,0,no such column: invoice,,,
628fca20b68618c255b7609b,What is the average time of delay of appointments in the cardiology department?,,"SELECT AVG(T1.C1) FROM ( SELECT T1.C1 FROM ( SELECT T1.C1, DENSE_RANK() OVER ( ORDER BY COUNT(*) DESC ) AS C2 FROM ( SELECT ( J1.D1 - J1.C1 ) AS C1 FROM ( SELECT I1.INTIME, I1.platelet FROM ( SELECT I1.INTIME, I1.platelet, DENSE_RANK() OVER ( ORDER BY I1.platelet DESC ) AS C1 FROM patientevents AS I1 WHERE I1.eventtype = 'platelet' ) AS I1 JOIN ( SELECT I2.INTIME, I2.platelet, DENSE_RANK() OVER ( ORDER BY I2.platelet DESC ) AS C1 FROM ( SELECT I2.INTIME, I2.platelet, DENSE_RANK() OVER ( ORDER BY I2.platelet DESC ) AS C1 FROM patientevents AS I2 WHERE I2.eventtype = 'platelet' ) AS I2 ON I1.HADM_ID = I2.HADM_ID WHERE I1.C1 = I2.C1 - 1 ) AS J1 JOIN ( SELECT I3.INTIME, I3.platelet, DENSE_RANK() OVER ( ORDER BY I3",,False,0.0,0.0021109580993652344,0,incomplete input,,,
732d3247063b956a96090f13,What is patient 92063's guardian's phone number?,,SELECT guardian_phone FROM guardians WHERE guardian_of = 92063,,False,0.0,0.0029754638671875,0,no such table: guardians,,,
3ebb7dfb50f5ffe20df2a74a,What is the average value of minimum humidity among the patients who were admitted to the icu more than once?,,"SELECT AVG(T1.C1) FROM ( SELECT MIN(imp_humid.humid) AS C1 FROM imp_humid WHERE imp_humid.sta = ( SELECT imp_sta.sta FROM imp_sta WHERE imp_sta.icustay_id IN ( SELECT T2.icustay_id FROM ( SELECT icustay_id, COUNT( icustay_id ) AS C1 FROM icustays WHERE icustays.outtime IS NOT NULL GROUP BY icustay_id ) AS T2 WHERE T2.C1 > 1 ) ) ) AS T1",,False,0.0,0.0016350746154785156,0,no such table: imp_humid,,,
adea3244a3c419ff3bd8efce,What hotel did he purchase?,,SELECT DISTINCT hotel FROM purchases WHERE purchases.person_id IN ( SELECT admissions.person_id FROM admissions WHERE admissions.last_name = 'he' ),,False,0.0,0.0016791820526123047,0,no such table: purchases,,,
